fbpzoningmodcat,modcat_id,FREQUENCY,SUM_ACRES,manual_county,zone,juris,gg_id,tra_id,sesit_id,ppa_id,exp2020_id,exsfd_id,add_bldg,drop_bldg,dua_up,far_up,dua_down,far_down,subsidy,notes,res_rent_cat,job_out_cat
santa_rosaNAtra3DISNAinsfd,1936,1023,195.1513964,97,1362,santa_rosa,NA,tra3,DIS,NA,in,sfd,,,,,,,,,,
santa_rosaNAtra3NANAinNA,1937,188,113.0637912,97,1365,santa_rosa,NA,tra3,NA,NA,in,NA,,,,,,,,,,
santa_rosaNAtra3NANAinsfd,1938,639,127.2045735,97,1359,santa_rosa,NA,tra3,NA,NA,in,sfd,,,,,,,,,,
saratogaGGNAHRADISNAinNA,1939,30,44.33164302,85,494,saratoga,GG,NA,HRADIS,NA,in,NA,HM,,35,1,,,,,,
saratogaGGNAHRADISNAinsfd,1940,613,177.5658134,85,493,saratoga,GG,NA,HRADIS,NA,in,sfd,HM,,35,1,,,,,,
saratogaGGNAHRANAinNA,1941,108,36.64900543,85,498,saratoga,GG,NA,HRA,NA,in,NA,HM,,35,1,,,,,,
saratogaGGNAHRANAinsfd,1942,162,46.08841126,85,498,saratoga,GG,NA,HRA,NA,in,sfd,HM,,35,1,,,,,,
saratogaGGtra3HRADISNAinNA,1943,168,164.172666,85,497,saratoga,GG,tra3,HRADIS,NA,in,NA,HM,,50,2.5,,,,,,
saratogaGGtra3HRADISNAinsfd,1944,819,304.4092642,85,497,saratoga,GG,tra3,HRADIS,NA,in,sfd,HM,,50,2,,,,,,
saratogaGGtra3HRANAinNA,1945,90,93.17878155,85,498,saratoga,GG,tra3,HRA,NA,in,NA,HM,,50,2.5,,,,,,
saratogaGGtra3HRANAinsfd,1946,1138,278.8799758,85,498,saratoga,GG,tra3,HRA,NA,in,sfd,HM,,50,2,,,,,,
saratogaNANAHRADISNAinNA,1947,737,1147.550585,85,494,saratoga,NA,NA,HRADIS,NA,in,NA,,,,,,,,,,
saratogaNANAHRADISNAinsfd,1948,5890,3390.792313,85,493,saratoga,NA,NA,HRADIS,NA,in,sfd,,,,,,,,,,
