"taz","walk_subzone","walk_subzone_label","incQ","incQ_label","autoSuff","autoSuff_label","hasAV","num_persons","num_workers","num_workers_students"
16,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,278,164,213
16,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,1245,935,987
16,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,722,566,640
16,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,991,577,634
17,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,1037,280,549
17,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,82,45,73
17,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,518,134,228
17,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,513,354,441
17,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,228,147,201
17,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,240,161,183
17,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,623,534,579
17,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,639,362,515
17,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,400,311,350
17,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,1631,1447,1506
17,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,1201,1007,1091
17,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,608,525,535
18,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,313,72,105
18,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,20,11,17
18,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,229,49,72
18,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,63,41,51
18,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,32,23,29
18,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,86,54,60
18,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,89,77,82
18,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,86,57,72
18,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,155,95,120
18,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,239,214,218
18,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,162,144,153
18,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,297,245,256
19,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,176,11,20
19,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,181,11,15
19,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,1,0,0
19,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,25,19,19
19,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,16,10,11
19,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,12,10,11
19,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,95,70,79
19,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,43,32,34
19,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,34,27,27
19,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,85,84,84
19,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,282,266,268
20,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,813,219,360
20,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,45,26,40
20,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,497,124,204
20,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,288,201,226
20,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,126,109,121
20,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,167,110,120
20,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,225,204,214
20,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,297,219,267
20,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,177,124,147
20,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,412,318,347
20,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,658,412,527
20,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,313,173,206
