zone_id,totacre_abag,resacre10_abag,ciacre10_abag,meanhhsize,gqpop10,gqpop15,gqpop20,gqpop25,gqpop30,gqpop35,gqpop40,zonal_emp_sh_resid10,sh_age0004,sh_age0519,sh_age2044,sh_age4564,sh_age65p,sh_62plus,perf1re1gt1,perfareagt10,perfareagt50
175,86.0,47,6,2.0552,31,33,35,37,39,41,43,0.1079,0.043,0.079,0.550,0.217,0.111,0.135,1,1,1
176,91.0,48,7,2.1303,3,3,3,3,4,4,4,0.0360,0.046,0.089,0.444,0.266,0.155,0.185,1,1,1
177,220.0,133,14,2.5584,41,43,46,48,51,54,57,0.0360,0.042,0.126,0.385,0.278,0.168,0.199,1,1,1
178,206.0,121,5,2.7453,9,10,10,11,12,12,13,0.0080,0.050,0.129,0.339,0.288,0.194,0.225,1,1,1
179,230.0,134,9,2.8826,8,8,9,9,10,10,11,0.0153,0.050,0.132,0.347,0.276,0.196,0.226,1,1,1
180,93.0,55,3,2.4320,32,34,36,38,40,43,45,0.0302,0.042,0.116,0.428,0.294,0.120,0.152,1,1,1
181,205.0,90,3,2.8391,5,5,6,6,6,7,7,0.0069,0.050,0.135,0.374,0.281,0.161,0.192,1,1,1
182,234.0,118,2,2.8128,5,5,6,6,6,7,7,-0.0303,0.042,0.148,0.340,0.292,0.177,0.209,1,1,1
183,284.0,130,18,2.9321,20,21,22,24,25,26,28,-0.0332,0.047,0.142,0.317,0.283,0.211,0.242,1,1,1
184,287.0,178,6,2.9293,27,29,30,32,34,36,38,-0.0449,0.053,0.132,0.311,0.294,0.211,0.243,1,1,1
185,309.0,145,40,2.8278,141,149,158,167,177,187,198,-0.0116,0.048,0.121,0.356,0.271,0.203,0.233,1,1,1
186,376.0,172,15,2.8491,76,80,85,90,95,100,106,-0.0298,0.051,0.142,0.311,0.290,0.205,0.237,1,1,1
187,214.0,116,10,2.7427,13,14,14,15,16,17,18,-0.0889,0.042,0.140,0.240,0.289,0.288,0.320,1,1,1
188,232.0,11,178,2.3648,2153,2277,2409,2548,2695,2851,3016,-0.1580,0.018,0.270,0.504,0.091,0.117,0.127,1,1,1
189,201.0,72,6,2.3709,0,0,0,0,0,0,0,-0.0714,0.060,0.122,0.426,0.232,0.159,0.185,1,1,1
190,1381.0,14,28,1.6823,5,5,6,6,6,7,7,0.1209,0.030,0.068,0.480,0.275,0.147,0.178,1,1,1
191,489.0,125,26,2.7143,0,0,0,0,0,0,0,-0.0544,0.047,0.152,0.286,0.277,0.239,0.271,1,1,1
192,143.0,66,37,2.4704,4,4,5,5,5,6,6,-0.0468,0.058,0.159,0.460,0.216,0.107,0.132,1,1,1
193,498.0,233,45,3.0203,140,148,157,166,175,185,196,-0.0383,0.062,0.203,0.332,0.263,0.140,0.170,1,1,1
194,390.0,157,148,3.4117,87,92,97,103,109,115,122,-0.0284,0.045,0.173,0.310,0.286,0.186,0.219,1,1,1
195,236.0,137,12,3.0578,7,7,8,8,9,9,10,-0.0296,0.046,0.159,0.312,0.283,0.200,0.233,1,1,1
196,581.0,152,81,3.4551,27,29,30,32,34,36,38,-0.0152,0.053,0.205,0.326,0.288,0.127,0.161,1,1,1
197,165.0,90,12,3.7839,18,19,20,21,22,24,25,0.0682,0.046,0.181,0.309,0.290,0.174,0.208,1,1,1
198,177.0,82,33,2.7986,317,335,355,375,397,420,444,-0.0703,0.066,0.173,0.403,0.193,0.165,0.188,1,1,1
199,326.0,46,138,2.1334,0,0,0,0,0,0,0,0.0763,0.054,0.139,0.416,0.304,0.087,0.122,1,1,1
200,1639.0,176,177,2.8422,30,32,34,35,38,40,42,-0.0400,0.039,0.161,0.271,0.276,0.253,0.285,1,1,1
201,244.0,67,59,3.2128,19,20,21,23,24,25,27,-0.0310,0.070,0.203,0.366,0.237,0.124,0.151,1,1,1
202,329.0,181,38,3.4694,15,16,17,18,19,20,21,-0.0077,0.062,0.190,0.343,0.278,0.128,0.160,1,1,1
203,187.0,62,42,3.7270,0,0,0,0,0,0,0,-0.0341,0.058,0.201,0.371,0.252,0.118,0.148,1,1,1
204,206.0,91,27,3.6901,114,121,128,135,143,151,160,-0.0221,0.056,0.204,0.355,0.259,0.126,0.156,1,1,1
