taz,autoPeakRetail,autoPeakTotal,autoOffPeakRetail,autoOffPeakTotal,transitPeakRetail,transitPeakTotal,transitOffPeakRetail,transitOffPeakTotal,nonMotorizedRetail,nonMotorizedTotal
     534,        10.0858,        12.5046,        10.1788,        12.6194,         4.1975,         6.8724,         4.0560,         6.6247,         4.7631,         7.4505
     535,        10.2255,        12.6716,        10.3227,        12.7858,         5.0229,         7.6264,         5.0285,         7.6109,         5.4256,         7.8202
     536,        10.1646,        12.6057,        10.2718,        12.7305,         4.3731,         7.2403,         4.2977,         7.1532,         5.5946,         7.8114
     537,        10.1464,        12.6072,        10.2544,        12.7453,         4.7522,         7.7149,         4.6462,         7.6114,         5.6157,         8.3826
     538,        10.1600,        12.6613,        10.2650,        12.7933,         5.2099,         8.6107,         5.0668,         8.4923,         5.5857,         8.9390
     539,        10.2230,        12.7635,        10.3302,        12.8878,         4.3591,         7.6103,         4.2942,         7.5210,         5.4038,         8.4686
     540,        10.1797,        12.6933,        10.2823,        12.8166,         5.1428,         8.4323,         5.0275,         8.3459,         5.4148,         8.5867
     541,        10.1572,        12.6352,        10.2521,        12.7466,         4.6931,         7.2899,         4.6614,         7.2384,         5.7783,         7.9986
     542,        10.2211,        12.7421,        10.3238,        12.8639,         5.3725,         8.5917,         5.2911,         8.5213,         4.9990,         8.3238
     543,        10.2101,        12.7470,        10.2981,        12.8496,         4.7499,         7.8058,         4.5913,         7.6435,         4.7292,         8.4708
     544,        10.2120,        12.7094,        10.2939,        12.8082,         3.5254,         6.0609,         3.3071,         5.8266,         6.3538,         7.9198
     545,        10.1860,        12.7384,        10.2579,        12.8209,         4.7203,         7.4936,         4.5415,         7.3449,         5.0802,         8.1269
     546,        10.2020,        12.7702,        10.3130,        12.8921,         5.2912,         8.5275,         5.0208,         8.2323,         5.2625,         9.1529
     547,        10.1944,        12.7612,        10.3215,        12.9081,         4.8040,         8.3665,         4.3483,         7.9498,         5.6354,         8.6428
     548,        10.1439,        12.7039,        10.2668,        12.8465,         4.1681,         7.4790,         4.0649,         7.3910,         5.6097,         8.6152
     549,        10.1469,        12.6956,        10.2584,        12.8153,         5.3072,         8.7504,         5.1512,         8.5971,         5.6638,         9.2305
