development_projects_id,raw_id,building_name,site_name,action,scen0,scen3,scen1,scen2,scen4,scen5,address,city,zip,county,x,y,geom_id,year_built,duration,building_type_id,building_type,building_sqft,non_residential_sqft,residential_units,unit_ave_sqft,tenure,rent_type,stories,parking_spaces,Average Weighted Rent,rent_ave_sqft,rent_ave_unit,last_sale_year,last_sale_price,source,apn
2113,10223,Raintree Partners  Jason Check,,build,1,1,1,1,1,1,520-550 E Weddell,Sunnyvale,,Santa Clara,-122.0134409,37.39811265,13551855528031,2013,,,HM,558000.0,0.0,465.0,,,,,,,,,,,ABAG,Sunnyvale-11014190
2114,10224,Classics Communities  Jim Pollart,,build,1,1,1,1,1,1,755 E. Evelyn Ave,Sunnyvale,,Santa Clara,-122.0160455,37.37192846,14023195885294,2015,,,HM,50400.0,0.0,42.0,,,,,,,,,,,ABAG,Sunnyvale-20901023
2115,10225,Classic Communities  Jim Pollart,,build,1,1,1,1,1,1,238 Carroll St,Sunnyvale,,Santa Clara,-122.0281353,37.37422303,10738483758597,2014,,,HM,28800.0,0.0,24.0,,,,,,,,,,,ABAG,Sunnyvale-20910064
2116,10226,SummerHill Homes  Katia Kamangar,,build,1,1,1,1,1,1,660 W El Camino Real,Sunnyvale,,Santa Clara,-122.0394847,37.36928042,5463688905612,2012,,,MR,123600.0,0.0,103.0,,,,,,,,,,,ABAG,Sunnyvale-20122011
2117,10227,Quattro Realty Group  LLC,,build,1,1,1,1,1,1,2502 Town Center Ln.,Sunnyvale,,Santa Clara,-122.0303654,37.31838885,1647894540570,2007,,,MR,1625400.0,1275000.0,292.0,,,,,,,,,,,ABAG,Cupertino--384783-1
2118,10228,627 Taylor LLC  Samir Sharma,,build,1,1,1,1,1,1,625 E Taylor,Sunnyvale,,Santa Clara,-122.0171051,37.38379406,9013559296357,2014,,,HM,24000.0,0.0,20.0,,,,,,,,,,,ABAG,Sunnyvale-20529007
2119,10229,Irvine Company  Kerry Williams,,build,1,1,1,1,1,1,975 Stewart,Sunnyvale,,Santa Clara,-122.0027096,37.38502224,4424488315860,2013,,,HM,68400.0,0.0,57.0,,,,,,,,,,,ABAG,Sunnyvale-20522014-2
2120,10230,Martyn Griffiths,,build,1,1,1,1,1,1,834 Dartshire Way,Sunnyvale,,Santa Clara,-122.0171855,37.34651841,17347697121990,2015,,,HM,43200.0,0.0,36.0,,,,,,,,,,,ABAG,Sunnyvale-30928017
2121,10231,SRGNC MF  LLC (Ken Busch/Sares Regis),,build,1,1,1,1,1,1,610 E. Weddell Dr.,Sunnyvale,,Santa Clara,-122.010884,37.39613103,7580318044163,2013,,,HM,246000.0,0.0,205.0,,,,,,,,,,,ABAG,Sunnyvale-11028001
2122,10232,Taylor Morrison  Stuart Wagner,,build,1,1,1,1,1,1,680 E Taylor,Sunnyvale,,Santa Clara,-122.0154753,37.38257899,9383730123988,2014,,,HM,21600.0,0.0,18.0,,,,,,,,,,,ABAG,Sunnyvale-20530022
2123,10233,Classic Communities  Jim Pollar,,build,1,1,1,1,1,1,300 W. Iowa,Sunnyvale,,Santa Clara,-122.0342133,37.37276076,14662831337548,2014,,,HS,15600.0,0.0,13.0,,,,,,,,,,,ABAG,Sunnyvale-20928095
2124,10234,Taylor Morrison,,build,1,1,1,1,1,1,698 E. Taylor Ave,Sunnyvale,,Santa Clara,-122.0149466,37.38246466,17211131516307,2013,,,HM,57600.0,0.0,48.0,,,,,,,,,,,ABAG,Sunnyvale-20530023
2125,10235,Watt Investments  Max Frank,,build,1,1,1,1,1,1,915 De Guigne,Sunnyvale,,Santa Clara,-122.0072927,37.38700788,16036871558336,2014,,,HM,540000.0,0.0,450.0,,,,,,,,,,,ABAG,Sunnyvale-20521001-2
2126,10236,Prometheus,,build,1,1,1,1,1,1,457-475 E Evelyn Ave,Sunnyvale,,Santa Clara,-122.0247185,37.37614562,11542045935923,2013,,,HM,140400.0,0.0,117.0,,,,,,,,,,,ABAG,Sunnyvale-20904054
2127,10237,Prometheus,,build,1,1,1,1,1,1,388-394 E. Evelyn Ave,Sunnyvale,,Santa Clara,-122.0263038,37.37614059,1875814766831,2012,,,HM,80400.0,0.0,67.0,,,,,,,,,,,ABAG,Sunnyvale-20905021
2128,10238,Padus Group/Tom Qualiga,,build,1,1,1,1,1,1,470 Persian Dr,Sunnyvale,,Santa Clara,-122.012518,37.40541124,12522643541975,2012,,,HM,56400.0,0.0,47.0,,,,,,,,,,,ABAG,Sunnyvale-11029029
2129,10239,The Sobrato Orginization/Richard Truempler,,build,1,1,1,1,1,1,1095 W El Camino Real,Sunnyvale,,Santa Clara,-122.0512434,37.37322537,5091511533831,2013,,,MR,227744.0,40544.0,156.0,,,,,,,,,,,ABAG,Sunnyvale-16141008
2130,10240,0,,build,1,1,1,1,1,1,34800 11th St,Union City,,Alameda,-122.0168479,37.59231753,11763133911567,2015,,,MR,294600.0,3000.0,243.0,,,,,,,,,,,ABAG,Union City-087 001900402
2131,10241,0,,build,1,1,1,1,1,1,34800 11th St,Union City,,Alameda,-122.0168479,37.59231753,11763133911567,2012,,,MR,197000.0,8600.0,157.0,,,,,,,,,,,ABAG,Union City-087 001900402
2132,10242,0,,build,1,1,1,1,1,1,2127 South Winchester Boulevard,Campbell,,Santa Clara,-121.9501318,37.28514152,16668020266749,2011,,,MR,194400.0,18000.0,147.0,,,,,,,,,,,ABAG,Campbell-30531057
2133,10243,National Avenue Partners,,build,0,0,0,0,0,0,600 National Ave.,Mountain View,,Santa Clara,-122.0549231,37.40164058,11677965756202,2014,,,OF,140654.0,140654.0,0.0,,,,,,,,,,,ABAG,Mountain View-16054010
