pda,tothh,hhpop,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
sma1,178.0,402.0,26.0,33.0,53.0,66.0,30.0,160.0,4047.0,1.0,262.0,483.0,1079.0,1671.0,551.0,2.96666666667,1885401.0,465.876204596
mpt1,412.0,1111.0,61.0,111.0,101.0,139.0,7.0,434.0,5373.0,2.0,1478.0,1197.0,689.0,776.0,1231.0,29.4285714286,4415407.0,821.776847199
vta1_j,676.0,1832.0,122.0,119.0,151.0,284.0,228.0,519.0,7874.0,0.0,2293.0,1599.0,1713.0,913.0,1356.0,1.48245614035,4748064.0,603.005334011
ccg1_b,686.0,1897.0,126.0,142.0,208.0,210.0,323.0,355.0,1415.0,1.0,56.0,729.0,44.0,369.0,216.0,1.06191950464,715662.0,505.76819788
ccc4,575.0,1563.0,125.0,135.0,147.0,168.0,141.0,451.0,1134.0,7.0,41.0,258.0,246.0,417.0,165.0,2.0390070922,652206.0,575.137566138
plh1,539.0,1297.0,113.0,93.0,144.0,189.0,131.0,428.0,1090.0,0.0,47.0,150.0,242.0,522.0,129.0,2.0572519084,654551.0,600.505504587
mor1,31.0,81.0,2.0,1.0,4.0,24.0,32.0,0.0,1452.0,0.0,82.0,209.0,498.0,460.0,203.0,0.484375,706274.0,486.414600551
sfo7,197.0,330.0,39.0,35.0,30.0,93.0,0.0,555.0,12829.0,18.0,1543.0,808.0,6840.0,1098.0,2522.0,0.0,7054771.0,549.908098839
rwc1,585.0,1450.0,171.0,124.0,171.0,119.0,54.0,572.0,8068.0,0.0,245.0,740.0,1407.0,2087.0,3589.0,5.41666666667,3503977.0,434.305528012
men1,203.0,408.0,19.0,21.0,42.0,121.0,52.0,100.0,6217.0,47.0,256.0,706.0,1658.0,1638.0,1912.0,1.95192307692,2800747.0,450.498150233
vac2,731.0,1895.0,190.0,222.0,175.0,144.0,5.0,279.0,1827.0,0.0,43.0,394.0,625.0,301.0,464.0,73.1,825180.0,451.658456486
sle1,371.0,1012.0,76.0,99.0,112.0,84.0,34.0,356.0,2422.0,0.0,450.0,856.0,196.0,612.0,308.0,5.45588235294,1664611.0,687.287778695
ant1,3.0,9.0,0.0,2.0,0.0,1.0,3.0,0.0,142.0,0.0,1.0,7.0,57.0,62.0,15.0,0.5,100565.0,708.204225352
sma2,579.0,1390.0,121.0,131.0,106.0,221.0,211.0,362.0,7057.0,2.0,521.0,689.0,3795.0,1057.0,993.0,1.37203791469,3684566.0,522.115063058
sca1,50.0,118.0,4.0,9.0,14.0,23.0,10.0,43.0,1133.0,3.0,205.0,111.0,271.0,329.0,214.0,2.5,667048.0,588.744924978
vta1_d,9.0,21.0,2.0,2.0,0.0,5.0,9.0,0.0,2070.0,2.0,78.0,196.0,902.0,490.0,402.0,0.5,880518.0,425.371014493
uni1,498.0,1546.0,65.0,70.0,123.0,240.0,79.0,440.0,661.0,0.0,263.0,63.0,186.0,97.0,52.0,3.15189873418,664324.0,1005.02874433
moh1,270.0,845.0,64.0,51.0,75.0,80.0,115.0,166.0,1337.0,0.0,104.0,104.0,445.0,415.0,269.0,1.17391304348,798614.0,597.317875841
sma3,121.0,320.0,12.0,14.0,31.0,64.0,6.0,117.0,4633.0,0.0,174.0,2173.0,963.0,643.0,680.0,10.0833333333,2290036.0,494.287934384
vta1_l,83.0,220.0,2.0,1.0,9.0,71.0,43.0,44.0,770.0,1.0,43.0,35.0,261.0,305.0,125.0,0.96511627907,350941.0,455.767532468
sjo2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ber5,188.0,391.0,64.0,37.0,46.0,41.0,7.0,153.0,1580.0,0.0,41.0,183.0,224.0,1026.0,106.0,13.4285714286,846436.0,535.718987342
wcc1_f,120.0,346.0,18.0,31.0,36.0,35.0,111.0,19.0,809.0,0.0,262.0,73.0,92.0,270.0,112.0,0.540540540541,508524.0,628.583436341
ccg1_m,83.0,216.0,7.0,18.0,27.0,31.0,65.0,19.0,444.0,1.0,107.0,58.0,105.0,79.0,94.0,0.638461538462,372534.0,839.040540541
vta1_g,23.0,62.0,6.0,4.0,5.0,8.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0
ber4,21.0,36.0,7.0,8.0,3.0,3.0,4.0,14.0,899.0,0.0,38.0,186.0,100.0,423.0,152.0,2.625,446389.0,496.53948832
ccc3_b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
con1_b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roh1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dub2,500.0,1276.0,25.0,50.0,110.0,315.0,0.0,446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
con1_a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
