serialno,puma1,asian,black,hisp,white
2190970,40,0,0,0,1
2191876,40,0,0,0,1
2192363,40,0,0,0,1
2195870,40,0,0,0,1
2199264,40,0,0,0,1
2200081,40,0,0,0,1
2200410,40,0,0,0,1
2200837,40,0,0,1,0
2202477,40,0,0,1,0
2203240,40,0,0,0,1
2205757,40,0,0,0,1
2206118,40,0,0,0,1
2206604,40,0,0,0,1
2213890,40,0,0,0,1
2221879,40,0,0,0,1
2226294,40,0,0,1,0
2228723,40,0,0,0,1
2233316,40,0,0,0,1
2234230,40,0,0,0,1
2235683,40,1,0,0,1
2236196,40,1,0,0,0
2243278,40,0,0,0,1
2252516,40,0,0,0,1
2252751,40,0,0,0,1
2253674,40,0,0,0,1
2258487,40,0,0,0,1
2260850,40,0,0,0,1
2261200,40,0,0,0,1
2262696,40,0,0,0,1
2263389,40,0,0,0,1
2264062,40,0,0,1,1
2266661,40,0,0,0,1
2268454,40,0,0,0,1
2269911,40,0,1,0,0
2270215,40,0,0,0,1
2273722,40,0,0,1,0
2283559,40,0,0,0,1
2289585,40,0,0,0,1
2293032,40,0,0,0,1
2293373,40,0,0,0,1
2301891,40,0,0,0,1
2305559,40,0,0,0,1
2312452,40,0,0,0,1
2315428,40,0,0,1,1
2317193,40,0,0,0,1
2319508,40,0,0,0,1
2320429,40,0,0,1,1
2324122,40,0,0,0,1
2326483,40,0,0,0,1
2332969,40,0,0,0,1
2334249,40,0,0,0,1
2334993,40,0,0,0,1
2338411,40,0,0,0,1
2341667,40,0,0,0,1
2343845,40,0,0,1,1
2349659,40,0,0,0,1
2351438,40,0,0,0,1
2353532,40,0,0,0,1
2354061,40,0,0,0,1
2356110,40,0,0,0,1
2358012,40,0,0,0,1
2368137,40,0,0,0,1
2368659,40,0,0,0,1
2371393,40,0,0,0,1
2376059,40,0,0,0,1
2376836,40,0,0,0,1
2376875,40,0,0,0,1
2377626,40,0,0,0,1
2378757,40,0,0,0,1
2385065,40,0,0,1,0
2385390,40,0,0,0,1
2385603,40,0,0,0,1
2392269,40,0,0,0,1
2394822,40,0,0,0,1
2395695,40,0,0,0,1
2397057,40,0,0,0,1
2407224,40,0,0,0,1
2408072,40,0,1,0,0
2408132,40,0,0,0,1
2410541,40,0,0,0,1
2414675,40,0,0,0,1
2416500,40,0,0,0,1
2418218,40,0,0,0,1
2418553,40,0,0,1,1
2422985,40,0,0,0,1
2424256,40,0,0,0,1
2425714,40,0,0,0,1
2426815,40,0,0,1,1
2430236,40,0,0,0,1
2433978,40,0,0,0,1
2438073,40,0,0,0,1
2442026,40,0,0,0,1
2451683,40,0,0,0,1
2459943,40,0,0,0,1
2461508,40,0,0,0,1
2464431,40,0,0,0,1
2465514,40,0,0,0,1
2466478,40,0,0,0,1
2467273,40,0,0,0,1
2470229,40,0,0,0,1
2470782,40,0,0,1,0
2474514,40,0,0,0,1
2475929,40,0,0,0,1
2478374,40,0,0,0,1
2494296,40,0,0,0,1
2497282,40,0,0,0,1
2497991,40,0,0,0,1
2498154,40,0,0,1,1
2500364,40,0,0,0,1
