County,Taz,Local Govt Jobs per TAZ pop,ed_k12 Jobs per TAZ pop,County Govt Jobs per County Pop,State Govt Jobs per Reg Pop,Federal Govt Jobs per Reg Pop,ed_high Jobs per Reg Pop
San Mateo,342,0.0086264,0.0560232,0,0,0,0.0000164
San Mateo,343,0.0086264,0.0096858,0,0,0,0
San Mateo,344,0.0086264,0.0096858,0,0,0,0.0000106
San Mateo,345,0.0086264,0.0096858,0,0,0,0
San Mateo,346,0.0086264,0.0096858,0.0000224,0,0.0000007,0.0000251
Santa Clara,347,0.0085194,0.0047085,0.0000056,0,0,0.0000016
Santa Clara,348,0.0085194,0.0135675,0,0,0,0
Santa Clara,349,0.0085194,0.0135675,0,0,0,0
Santa Clara,350,0.0085194,0.0135675,0,0,0,0.0000042
Santa Clara,351,0.0085194,0.0135675,0.0000113,0,0,0.0000413
Santa Clara,352,0.0085194,0.0135675,0,0,0,0.0000071
Santa Clara,353,0.0085194,0.0135675,0,0,0,0
Santa Clara,354,0.0085194,0.0135675,0,0,0,0
Santa Clara,355,0.0085194,0.0135675,0,0,0,0
Santa Clara,356,0.0085194,0.0135675,0,0,0.0000041,0.0000082
Santa Clara,357,0.0085194,0.0135675,0,0,0,0.0000085
Santa Clara,358,0.0085194,0.0135675,0,0,0,0.0000162
Santa Clara,359,0.0085194,0.0135675,0,0,0,0
Santa Clara,360,0.0085194,0.0135675,0,0,0,0.0000051
Santa Clara,361,0.0085194,0.0135675,0,0,0,0.0000056
Santa Clara,362,0.0085194,0.0135675,0,0,0,0.0000049
Santa Clara,363,0.0085194,0.0135675,0,0,0,0.0000295
Santa Clara,364,0.0085194,0.0135675,0,0.0000007,0,0.0000007
Santa Clara,365,0.0085194,0.0043933,0,0,0.0000051,0
Santa Clara,366,0.0085194,0.0135675,0,0,0,0
Santa Clara,367,0.0085194,0.0135675,0,0,0,0.0000142
Santa Clara,368,0.0085194,0.0047085,0,0,0,0.0000062
Santa Clara,369,0.0085194,0.0191847,0,0,0,0.0000141
Santa Clara,370,0.0085194,0.0191847,0,0,0,0.0000071
Santa Clara,371,0.0085194,0.0191847,0,0.0000006,0,0
Santa Clara,372,0.0085194,0.0043933,0,0,0,0
Santa Clara,373,0.0085194,0.0043933,0,0,0,0.0000071
Santa Clara,374,0.0085194,0.0043933,0,0,0,0
Santa Clara,375,0.0085194,0.0043933,0,0,0,0
Santa Clara,376,0.0085194,0.0043933,0,0,0,0.0000104
Santa Clara,377,0.0085194,0.0043933,0.0000451,0,0.0000017,0.0000031
Santa Clara,378,0.0085194,0.0043933,0,0,0.0000003,0
Santa Clara,379,0.0085194,0.0043933,0.0000034,0,0,0.0000099
Santa Clara,380,0.0085194,0.0043933,0,0,0,0
Santa Clara,381,0.0085194,0.0043933,0,0,0,0
Santa Clara,382,0.0085194,0.0043933,0,0,0,0.0000072
Santa Clara,383,0.0085194,0.0043933,0,0,0,0.0000049
Santa Clara,384,0.0085194,0.0191847,0,0,0,0.0000021
Santa Clara,385,0.0085194,0.0191847,0,0,0,0
Santa Clara,386,0.0085194,0.0191847,0,0,0,0.0000051
Santa Clara,387,0.0085194,0.0191847,0,0,0,0
Santa Clara,388,0.0085194,0.0191847,0,0,0,0.0000563
Santa Clara,389,0.0085194,0.0043933,0,0,0,0
Santa Clara,390,0.0085194,0.0043933,0,0,0,0.0000042
Santa Clara,391,0.0085194,0.0043933,0,0,0,0
Santa Clara,392,0.0085194,0.0102757,0,0,0,0
Santa Clara,393,0.0085194,0.0102757,0,0,0,0.0000106
Santa Clara,394,0.0085194,0.0102757,0.0000011,0,0,0.0000071
Santa Clara,395,0.0085194,0.0102757,0,0,0,0
Santa Clara,396,0.0085194,0.0102757,0,0,0,0
Santa Clara,397,0.0085194,0.0043933,0,0,0,0
Santa Clara,398,0.0085194,0.0043933,0,0,0,0
Santa Clara,399,0.0085194,0.0043933,0.0000068,0,0,0
Santa Clara,400,0.0085194,0.0043933,0,0,0,0
Santa Clara,401,0.0085194,0.0043933,0.0000017,0,0.0000186,0
Santa Clara,402,0.0085194,0.0043933,0,0,0.0001963,0
Santa Clara,403,0.0085194,0.0102757,0,0,0.0000465,0
Santa Clara,404,0.0085194,0.0119052,0,0,0,0.0000071
Santa Clara,405,0.0085194,0.0262611,0,0,0,0
Santa Clara,406,0.0085194,0.0262611,0,0,0,0
Santa Clara,407,0.0085194,0.0119052,0,0.0000382,0,0
Santa Clara,408,0.0085194,0.0119052,0.0001935,0,0,0
Santa Clara,409,0.0085194,0.0119052,0.0001411,0,0,0
Santa Clara,410,0.0085194,0.0119052,0,0.000141,0,0
Santa Clara,411,0.0085194,0.0119052,0,0,0,0
Santa Clara,412,0.0085194,0.0119052,0.0006641,0.0000078,0,0
Santa Clara,413,0.0085194,0.0172741,0.0000056,0,0,0
Santa Clara,414,0.0085194,0.0172741,0,0,0,0.0000099
Santa Clara,415,0.0085194,0.0172741,0,0,0.0000006,0
Santa Clara,416,0.0085194,0.0172741,0,0,0.0000006,0.0000049
Santa Clara,417,0.0085194,0.0172741,0,0,0,0
Santa Clara,418,0.0085194,0.0102757,0,0,0,0
Santa Clara,419,0.0085194,0.0102757,0,0,0,0.0000049
