pda,tothh,hhpop,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
laf1,1695.0,3803.0,416.0,294.0,333.0,652.0,275.0,1524.0,6847.0,20.0,950.0,610.0,1900.0,2261.0,1106.0,3.08181818182,3249047.0,474.521250183
sfo5,2966.0,5903.0,1439.0,807.0,118.0,602.0,1.0,3137.0,4216.0,38.0,731.0,125.0,1096.0,1812.0,414.0,1483.0,5941260.0,1409.21726755
ccg1_k,54.0,175.0,15.0,11.0,17.0,11.0,19.0,41.0,216.0,1.0,26.0,38.0,39.0,62.0,50.0,1.42105263158,181453.0,840.060185185
elc1_a,256.0,553.0,121.0,68.0,42.0,25.0,23.0,242.0,1882.0,6.0,89.0,599.0,235.0,679.0,274.0,5.5652173913,2089928.0,1110.48246546
wcc1_b,271.0,636.0,113.0,76.0,56.0,26.0,31.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.37096774194,0.0,0.0
wcc1_e,99.0,337.0,46.0,33.0,16.0,4.0,28.0,70.0,193.0,0.0,6.0,37.0,16.0,82.0,52.0,1.76785714286,176220.0,913.056994819
pin2,515.0,1399.0,120.0,142.0,129.0,124.0,321.0,206.0,2332.0,5.0,829.0,137.0,408.0,566.0,387.0,0.802180685358,1157433.0,496.326329331
sma1,183.0,414.0,43.0,56.0,42.0,42.0,30.0,160.0,4004.0,1.0,218.0,482.0,1064.0,1689.0,550.0,3.05,1820903.0,454.770979021
mpt1,407.0,1094.0,100.0,119.0,105.0,83.0,7.0,434.0,5420.0,20.0,1297.0,1207.0,703.0,932.0,1261.0,29.0714285714,4154658.0,766.542066421
vta1_j,687.0,1839.0,188.0,146.0,149.0,204.0,228.0,519.0,8070.0,25.0,1952.0,1608.0,1768.0,1348.0,1369.0,1.50657894737,4746734.0,588.195043371
ccg1_b,665.0,1818.0,182.0,204.0,157.0,122.0,323.0,355.0,1435.0,4.0,53.0,734.0,44.0,384.0,216.0,1.02941176471,677453.0,472.092682927
ccc4,572.0,1553.0,205.0,139.0,140.0,88.0,141.0,451.0,1150.0,7.0,37.0,260.0,241.0,438.0,167.0,2.02836879433,644207.0,560.18
plh1,528.0,1262.0,161.0,112.0,152.0,103.0,131.0,428.0,1150.0,1.0,39.0,154.0,240.0,576.0,140.0,2.01526717557,654551.0,569.174782609
mor1,32.0,87.0,2.0,4.0,9.0,17.0,32.0,0.0,1475.0,1.0,73.0,210.0,499.0,487.0,205.0,0.5,697886.0,473.143050847
sfo7,352.0,748.0,132.0,38.0,36.0,146.0,0.0,555.0,13382.0,24.0,1314.0,807.0,6967.0,1762.0,2508.0,0.0,5833381.0,435.912494395
rwc1,586.0,1429.0,231.0,183.0,111.0,61.0,54.0,572.0,8022.0,0.0,201.0,741.0,1390.0,2136.0,3554.0,5.42592592593,3122911.0,389.293318374
men1,208.0,430.0,36.0,28.0,48.0,96.0,52.0,100.0,6194.0,47.0,220.0,706.0,1641.0,1699.0,1881.0,2.0,2723101.0,439.635292218
vac2,728.0,1865.0,336.0,189.0,139.0,64.0,5.0,279.0,1811.0,0.0,38.0,395.0,617.0,302.0,459.0,72.8,811100.0,447.874102706
sle1,381.0,1013.0,139.0,120.0,78.0,44.0,34.0,356.0,2452.0,4.0,372.0,866.0,198.0,696.0,316.0,5.60294117647,1664611.0,678.878874388
ant1,3.0,9.0,0.0,2.0,0.0,1.0,3.0,0.0,142.0,0.0,0.0,7.0,57.0,62.0,16.0,0.5,86282.0,607.61971831
sma2,581.0,1401.0,189.0,141.0,104.0,147.0,211.0,362.0,7153.0,6.0,433.0,690.0,3762.0,1258.0,1004.0,1.37677725118,3397033.0,474.910247449
sca1,51.0,123.0,6.0,9.0,14.0,22.0,10.0,43.0,1166.0,5.0,184.0,111.0,271.0,374.0,221.0,2.55,655007.0,561.755574614
vta1_d,9.0,21.0,3.0,1.0,1.0,4.0,9.0,0.0,2090.0,3.0,65.0,196.0,893.0,532.0,401.0,0.5,880518.0,421.300478469
