TAZ,shrq1_2010,shrq2_2010,shrq3_2010,shrq4_2010,shrw0_2010,shrw1_2010,shrw2_2010,shrw3_2010,shra1_2010,shra2_2010,shra3_2010,shra4_2010,shrn_2010,shry_2010,qmn,qsd,wmn,wsd,amn,asd
700108,0.169628009,0.266280088,0.29190372,0.272188184,0.220726931,0.328366047,0.385238189,0.065668833,0.239616613,0.186900958,0.415335463,0.158146965,0.666892779,0.333107221," 71,903 "," 5,409,624 ", 1.31555 , 128 , 47 ," 7,099 "
700109,0.401535334,0.268544589,0.226335526,0.103584551,0.268910746,0.408467065,0.253784674,0.068837515,0.193370166,0.162230035,0.376695128,0.267704671,0.68479798,0.31520202," 49,162 "," 3,397,018 ", 1.14320 , 153 , 51 ," 14,987 "
700110,0.222279661,0.281881356,0.267118644,0.228720339,0.26890678,0.408474576,0.253779661,0.068838983,0.27355544,0.219677251,0.400052056,0.106715252,0.684805085,0.315194915," 65,978 "," 11,159,834 ", 1.14320 , 228 , 45 ," 19,108 "
700111,0.393322034,0.246677966,0.17,0.19,0.318701061,0.422019593,0.20273889,0.056540456,0.259722222,0.336111111,0.315277778,0.088888889,0.77179661,0.22820339," 54,350 "," 1,915,013 ", 1.01408 , 51 , 41 ," 2,690 "
700112,0.416413613,0.20973822,0.197565445,0.176282723,0.318725621,0.422026755,0.20272782,0.056519804,0.219081272,0.297997644,0.396937574,0.08598351,0.771780105,0.228219895," 53,525 "," 2,317,526 ", 1.01400 , 66 , 41 ," 4,261 "
700113,0.040988366,0.241801252,0.198769919,0.518440464,0.231956989,0.369311828,0.334688172,0.064043011,0.237683665,0.087294728,0.516853933,0.158167675,0.676537634,0.323462366," 92,203 "," 11,499,023 ", 1.25003 , 114 , 49 ," 8,876 "
700114,0.162457467,0.083024575,0.2436862,0.510831758,0.288633485,0.299521748,0.358745581,0.053099185,0.274281806,0.169630643,0.440492476,0.115595075,0.689395085,0.310604915," 89,522 "," 13,155,352 ", 1.19224 , 140 , 46 ," 8,488 "
700115,0.317582038,0.39507772,0.10775475,0.179585492,0.288640564,0.299521581,0.358745401,0.053092454,0.219720497,0.175465839,0.386645963,0.218167702,0.689395509,0.310604491," 53,611 "," 4,078,466 ", 1.19222 , 153 , 49 ," 8,194 "
700116,0.239366391,0.372341598,0.255316804,0.132975207,0.230330579,0.432975207,0.286969697,0.049724518,0.254784689,0.301435407,0.39354067,0.050239234,0.754628099,0.245371901," 57,393 "," 2,321,669 ", 1.17101 , 81 , 40 ," 4,371 "
700117,0.257479893,0.167828418,0.20458445,0.370107239,0.288632708,0.299517426,0.358739946,0.05310992,0.222743259,0.154747948,0.388042204,0.234466589,0.689410188,0.310589812," 74,045 "," 6,212,087 ", 1.19226 , 99 , 51 ," 5,812 "
700118,0.127313237,0.260943644,0.281179554,0.330563565,0.270747051,0.385517693,0.316068152,0.027667104,0.176879343,0.181301327,0.47567909,0.16614024,0.823342071,0.176657929," 77,467 "," 11,152,760 ", 1.10896 , 190 , 46 ," 10,715 "
700121,0.023750594,0.26840671,0.287407185,0.420435511,0.121275,0.3461,0.41205,0.120575,0.266227658,0.185324553,0.444026341,0.104421449,0.532025,0.467975," 87,982 "," 7,749,517 ", 1.56810 , 117 , 45 ," 6,186 "
700122,0.175172414,0.383601533,0.177375479,0.263850575,0.280062836,0.40236403,0.21326079,0.104312343,0.267182131,0.229381443,0.420962199,0.082474227,0.679176245,0.320823755," 67,061 "," 5,656,618 ", 1.17312 , 90 , 43 ," 6,267 "
700123,0,0.196366658,0.456202183,0.347431158,0.231977077,0.369312321,0.334670487,0.064040115,0.203501094,0.096280088,0.528446389,0.171772429,0.676532951,0.323467049," 88,762 "," 6,355,235 ", 1.24999 , 85 , 48 ," 7,273 "
700124,0.46982684,0.364220779,0.105606061,0.06034632,0.230324675,0.432987013,0.286969697,0.049718615,0.1839303,0.362052275,0.384317522,0.069699903,0.754632035,0.245367965," 39,429 "," 1,757,882 ", 1.17100 , 104 , 39 ," 5,304 "
700125,0.39875,0.345041667,0.130166667,0.126041667,0.230333333,0.432979167,0.286979167,0.049708333,0.209389671,0.286384977,0.422535211,0.081690141,0.754625,0.245375," 47,677 "," 1,938,766 ", 1.17098 , 108 , 41 ," 5,836 "
700126,0.233667233,0.248370119,0.300645161,0.217317487,0.378104891,0.326287373,0.249070443,0.046537293,0.180362117,0.104456825,0.38091922,0.334261838,0.766044143,0.233955857," 65,898 "," 5,649,241 ", 0.97800 , 110 , 55 ," 13,822 "
700127,0.140131433,0.223276929,0.187656751,0.448934887,0.378095238,0.326285714,0.249079365,0.046539683,0.242636746,0.079943899,0.476858345,0.20056101,0.766063492,0.233936508," 83,279 "," 6,580,968 ", 0.97803 , 59 , 51 ," 5,404 "
