tract_ba,census_tract,prop_eq,prop_fire,shaking
012100,06075012100,0.008586003,3.55686E-13,7
015300,06075015300,0.008121888,0.003634202,7
012000,06075012000,0.008889632,8.53026E-13,7
015200,06075015200,0.005660159,-1.22629E-12,7
011400,06075011400,0.004278331,-1.9159E-12,7
602300,06081602300,0.036614574,0.004684429,6.628571429
602700,06081602700,0.000741111,0.003904932,7
603600,06081603600,0.000540229,0.001568866,6.1
602600,06081602600,0.001063455,0.003251222,6.8
603700,06081603700,0.000972644,0.000743999,6.1
604102,06081604102,0.005462575,0.003223057,6.1
602900,06081602900,0.002385939,0.002726044,7.1
601000,06081601000,0.024611425,0.005110544,7.911111111
601400,06081601400,0.002505798,0.005237719,7.7
601601,06081601601,0.004261414,0.004730855,6.8
600100,06081600100,0.001559164,0.000921039,6.6
601300,06081601300,0.002350889,0.004779742,7.1
600500,06081600500,0.001696799,0.002445623,6.7
600900,06081600900,0.003660902,0.003854473,7.7
600300,06081600300,0.000922723,0.001381678,6.5
026303,06075026303,0.001673154,0.002156959,6.7
600200,06081600200,0.003322991,0.000239201,6.6
601200,06081601200,0.003835621,0.004640552,7.6
600600,06081600600,0.003412917,0.002245619,7
601502,06081601502,0.002391953,0.005522849,8
601604,06081601604,0.00433807,0.00564185,7.4
601603,06081601603,0.00280214,0.004253254,7
601700,06081601700,0.003552829,0.005448083,6.9
601900,06081601900,0.003196607,0.004235667,6.5
602200,06081602200,0.004150873,0.00341727,6.4
602100,06081602100,0.002779009,0.001761996,6.4
604101,06081604101,0.006634008,0.003290116,6.3
603800,06081603800,0.00255473,0.000920816,6
604300,06081604300,0.049035116,1.53099E-05,6.8
600800,06081600800,0.002081211,0.003735001,7.3
600700,06081600700,0.003411798,3.96755E-13,6.9
611400,06081611400,0.011107124,0.005256239,7.4
612700,06081612700,0.013712196,0.0070345,7.5
612500,06081612500,0.015379764,0.004484724,7.4
611200,06081611200,0.006858769,0.003332338,7.4
611000,06081611000,0.011421665,0.007197705,7.1
612200,06081612200,0.016920356,0.002359414,7.7
612000,06081612000,0.016225371,0.009719393,8
611900,06081611900,0.048962833,0.009104125,8.1
611500,06081611500,0.019825124,0.008693736,7.1
610601,06081610601,0.022343963,0.008784516,6.8
611800,06081611800,0.03547422,0.008760944,8
610203,06081610203,0.047733839,0.004689977,6.8
611600,06081611600,0.024535359,0.002877363,7.3
610500,06081610500,0.062751944,0.006942758,6.7
610201,06081610201,0.053592198,0.005246128,6.7
610302,06081610302,0.025309155,0.006016758,7
610202,06081610202,0.033047628,0.004672537,6.8
609000,06081609000,0.006973347,0.008434186,6.5
609100,06081609100,0.017490724,0.006828185,6.8
608900,06081608900,0.002627548,0.007156777,6.2
