jurisdiction,pda_id,tpp_id,exp_id,count,add_bldg,drop_bldg,dua_up,far_up,dua_down,far_down,subsidy,place_type,notes
26000,fre2,b2,,128,,,,,,,,,
26000,fre2,b3,,474,,,,,,,,,
26000,fre2,bart2,,956,,,,,,,,,
26000,fre2,brt3,,11,,,,,,,,,
26000,fre2,,,276,,,,,,,,,
26000,fre3,b1,,10,,,,,,,,,
26000,fre3,b2,,223,,,,,,,,,
26000,fre3,b3,,1086,,,,,,,,,
26000,fre3,bart2,,1439,,,,,,,,,
26000,fre3,,,885,,,,,,,,,
26000,fre4,b3,,590,,,,,,,,,
26000,fre4,bart2,,74,,,,,,,,,
26000,fre4,,,782,,,,,,,,,
29504,gil1,b2,,527,,,,,,,,,
29504,gil1,,,12,,,,,,,,,
33000,hay1,b2,,136,,,,,,,,,
33000,hay1,b3,,180,,,,,,,,,
33000,hay1,bart2,,44,,,,,,,,,
33000,hay2,b1,,153,,,,,,,,,
33000,hay2,b2,,13,,,,,,,,,
33000,hay2,bart2,,777,,,,,,,,,
33000,hay3_a,b2,,10,,,,,,,,,
33000,hay3_a,b3,,15,,,,,,,,,
33000,hay3_a,,,7,,,,,,,,,
33000,hay3_b,b2,,16,,,,,,,,,
33000,hay3_b,bart2,,179,,,,,,,,,
33000,hay3_b,,,48,,,,,,,,,
33000,hay4,b1,,28,,,,,,,,,
33000,hay4,b2,,87,,,,,,,,,
33000,hay4,b3,,260,,,,,,,,,
33000,hay4,bart2,,114,,,,,,,,,
33000,hay4,,,15,,,,,,,,,
33308,her1,b1,,15,,,,,,,,,
33308,her1,b2,,1,,,,,,,,,
00013,her1,,,1,,,,,,,,,
33308,her1,,,18,,,,,,,,,
33308,her2,b1,,364,,,,,,,,,
33308,her2,b2,,1,,,,,,,,,
33308,her2,b3,,168,,,,,,,,,
33308,her2,,,166,,,,,,,,,
39122,laf1,bart3,,454,,,,,,,,,
39122,laf1,,,304,,,,,,,,,
41992,liv1,b2,,487,,,,,,,,,
41992,liv1,b3,,11,,,,,,,,,
41992,liv1,,,2,,,,,,,,,
00001,liv2,,,9,,,,,,,,,
41992,liv2,,,268,,,,,,,,,
00001,liv3,,,1,,,,,,,,,
41992,liv3,,,528,,,,,,,,,
46114,mar1,b2,,9,,,,,,,,,
46114,mar1,b3,,583,,,,,,,,,
00041,mco1,b2,,1650,,,,,,,,,
00041,mco1,b3,,77,,,,,,,,,
47710,mco1,b3,,1,,,,,,,,,
00041,mco1,cr4,,60,,,,,,,,,
68364,mco1,cr4,,1,,,,,,,,,
00041,mco1,,,1093,,,,,,,,,
16462,mco1,,,11,,,,,,,,,
46870,men1,b2,,1,,,,,,,,,
46870,men1,b3,,5,,,,,,,,,
46870,men1,brt2,,415,,,,,,,,,
47486,mil1,bart3,,200,,,,,,,,,
49278,moh1,b2,,280,,,,,,,,,
49278,moh1,b3,,32,,,,,,,,,
49187,mor1,,,102,,,,,,,,,
47766,mpt1,bart2,,110,,,,,,,,,
47766,mpt1,lrt3,,6,,,,,,,,,
49670,mvw1,lrt3,,750,,,,,,,,,
49670,mvw2,cr3,,1963,,,,,,,,,
49670,mvw2,lrt3,,621,,,,,,,,,
49670,mvw3,b1,,181,,,,,,,,,
49670,mvw3,b2,,925,,,,,,,,,
49670,mvw3,b3,,284,,,,,,,,,
55282,mvw3,b3,,1,,,,,,,,,
49670,mvw3,brt2,,549,,,,,,,,,
49670,mvw4,b1,,108,,,,,,,,,
49670,mvw4,b2,,561,,,,,,,,,
49670,mvw4,b3,,73,,,,,,,,,
49670,mvw4,brt2,,558,,,,,,,,,
49670,mvw4,lrt3,,1953,,,,,,,,,
49670,mvw5,lrt3,,675,,,,,,,,,
77000,mvw5,lrt3,,1,,,,,,,,,
49670,mvw6,,,158,,,,,,,,,
50258,nap1,b3,,565,,,,,,,,,
50258,nap2,b3,,223,,,,,,,,,
50258,nap2,,,138,,,,,,,,,
50916,new1,brt3,,21,,,,,,,,,
50916,new1,,,7,,,,,,,,,
50916,new2,b3,,5,,,,,,,,,
50916,new2,,,166,,,,,,,,,
53070,oak1,b2,,28,,,,,,,,,
00013,oak1,,,2,,,,,,,,,
53070,oak1,,,128,,,,,,,,,
53070,oak2,b3,,276,,,,,,,,,
53070,oak2,,,8,,,,,,,,,
53070,oak3,b3,,184,,,,,,,,,
53070,oak3,,,79,,,,,,,,,
53000,okd1,b1,,2622,,,,,,,,,
06000,okd1,b2,,5,,,,,,,,,
53000,okd1,b2,,4773,,,,,,,,,
53000,okd1,b3,,104,,,,,,,,,
53000,okd1,bart1,,690,,,,,,,,,
06000,okd1,bart2,,38,,,,,,,,,
53000,okd1,bart2,,721,,,,,,,,,
06000,okd1,bart3,,4,,,,,,,,,
53000,okd1,bart3,,2685,,,,,,,,,
00001,okd1,brt1,,5,,,,,,,,,
53000,okd1,brt1,,14180,,,,,,,,,
68084,okd1,brt1,,1,,,,,,,,,
53000,okd1,brt2,,40,,,,,,,,,
53000,okd1,brt3,,9398,,,,,,,,,
06000,okd1,,,8,,,,,,,,,
53000,okd1,,,1146,,,,,,,,,
68084,okd1,,,1,,,,,,,,,
53000,okd2,b1,,27,,,,,,,,,
53000,okd2,b2,,70,,,,,,,,,
53000,okd2,b3,,1,,,,,,,,,
53000,okd2,bart1,,770,,,,,,,,,
53000,okd2,brt1,,1254,,,,,,,,,
00001,okd2,,,1,,,,,,,,,
53000,okd2,,,18,,,,,,,,,
00001,okd3,b1,,1,,,,,,,,,
53000,okd3,b1,,66,,,,,,,,,
00001,okd3,b2,,1,,,,,,,,,
53000,okd3,b2,,7,,,,,,,,,
53000,okd3,b3,,1,,,,,,,,,
53000,okd3,bart1,,1273,,,,,,,,,
53000,okd3,brt1,,95,,,,,,,,,
53000,okd3,brt2,,33,,,,,,,,,
00001,okd3,,,1,,,,,,,,,
53000,okd4,b1,,224,,,,,,,,,
53000,okd4,b2,,778,,,,,,,,,
53000,okd4,brt1,,290,,,,,,,,,
53000,okd4,brt3,,1453,,,,,,,,,
53000,okd5,b1,,989,,,,,,,,,
53000,okd5,b2,,106,,,,,,,,,
53000,okd5,bart1,,1496,,,,,,,,,
53000,okd5,brt1,,3195,,,,,,,,,
53000,okd5,brt3,,952,,,,,,,,,
00001,okd5,,,1,,,,,,,,,
53000,okd5,,,13,,,,,,,,,
22594,okd6,b1,,15,,,,,,,,,
53000,okd6,b1,,397,,,,,,,,,
53000,okd6,b2,,256,,,,,,,,,
53000,okd6,bart1,,2139,,,,,,,,,
53000,okd6,brt1,,1129,,,,,,,,,
53000,okd7,b1,,804,,,,,,,,,
53000,okd7,b2,,99,,,,,,,,,
