zone_id,AGREMPN,OTHEMPN,MWTEMPN,FPSEMPN,RETEMPN,HEREMPN
320,0.005,0.095,0.095,0.095,0.095,0.095
321,0.005,0.095,0.095,0.095,0.095,0.095
322,0.005,0.095,0.095,0.095,0.095,0.095
323,0.005,0.095,0.095,0.095,0.095,0.095
324,0.005,0.095,0.095,0.095,0.095,0.095
325,0.005,0.095,0.095,0.095,0.095,0.095
326,0.005,0.095,0.095,0.095,0.095,0.095
327,0.005,0.095,0.095,0.095,0.095,0.095
328,0.005,0.095,0.095,0.095,0.095,0.095
329,0.005,0.095,0.095,0.095,0.095,0.095
330,0.005,0.095,0.095,0.095,0.095,0.095
331,0.005,0.095,0.095,0.095,0.095,0.095
332,0.005,0.095,0.095,0.095,0.095,0.095
333,0.005,0.095,0.095,0.095,0.095,0.095
334,0.005,0.095,0.095,0.095,0.095,0.095
335,0.005,0.095,0.095,0.095,0.095,0.095
336,0.005,0.095,0.095,0.095,0.095,0.095
337,0.005,0.095,0.095,0.095,0.095,0.095
338,0.005,0.095,0.095,0.095,0.095,0.095
339,0.005,0.095,0.095,0.095,0.095,0.095
340,0.005,0.095,0.095,0.095,0.095,0.095
341,0.005,0.095,0.095,0.095,0.095,0.095
342,0.005,0.095,0.095,0.095,0.095,0.095
343,0.005,0.095,0.095,0.095,0.095,0.095
344,0.005,0.095,0.095,0.095,0.095,0.095
345,0.005,0.095,0.095,0.095,0.095,0.095
346,0.005,0.095,0.095,0.095,0.095,0.095
347,0.005,0.095,0.095,0.095,0.095,0.095
348,0.005,0.095,0.095,0.095,0.095,0.095
349,0.005,0.095,0.095,0.095,0.095,0.095
350,0.005,0.095,0.095,0.095,0.095,0.095
351,0.005,0.095,0.095,0.095,0.095,0.095
352,0.005,0.095,0.095,0.095,0.095,0.095
353,0.005,0.095,0.095,0.095,0.095,0.095
354,0.005,0.095,0.095,0.095,0.095,0.095
355,0.005,0.095,0.095,0.095,0.095,0.095
356,0.005,0.095,0.095,0.095,0.095,0.095
357,0.005,0.095,0.095,0.095,0.095,0.095
358,0.005,0.095,0.095,0.095,0.095,0.095
359,0.005,0.095,0.095,0.095,0.095,0.095
360,0.005,0.095,0.095,0.095,0.095,0.095
361,0.005,0.095,0.095,0.095,0.095,0.095
362,0.005,0.095,0.095,0.095,0.095,0.095
363,0.005,0.095,0.095,0.095,0.095,0.095
364,0.005,0.095,0.095,0.095,0.095,0.095
365,0.005,0.095,0.095,0.095,0.095,0.095
366,0.005,0.095,0.095,0.095,0.095,0.095
367,0.005,0.095,0.095,0.095,0.095,0.095
368,0.005,0.095,0.095,0.095,0.095,0.095
369,0.005,0.095,0.095,0.095,0.095,0.095
370,0.005,0.095,0.095,0.095,0.095,0.095
